category,product_name,mpn,confidence
GPU,Gigabyte GAMING OC,GV-N306TGAMING-OC-8GD,high
GPU,Intel 33P6PEB0BB,33P6PEB0BB,low
GPU,MSI VENTUS 3X OC,RTX-5060-8G-VENTUS-3X-OC,high
GPU,MSI RX 580 8G,RX-580-8G,low
GPU,Gigabyte GAMING OC,GV-N4060GAMING-OC-8GD,high
GPU,PNY VCNRTX6000ADA-PB,VCNRTX6000ADA-PB,low
GPU,Gigabyte GAMING OC,GV-R907GREGAMING-OC-12GD,high
GPU,EVGA FTW3 ULTRA GAMING LE iCX3,12G-P5-3967-KR,high
GPU,Asus STRIX GAMING,STRIX-GTX1080TI-11G-GAMING,high
GPU,Asus TUF GAMING OC,TUF-RTX4070TI-O12G-GAMING,high
GPU,Gigabyte EAGLE OC SFF,GV-N507TEAGLE-OC-16GD,high
GPU,Intel 33P01IB0BB,33P01IB0BB,low
GPU,Asus ROG STRIX GAMING OC,ROG-STRIX-RTX4090-O24G-WHITE,high
GPU,Gigabyte AERO OC,GV-N4060AERO-OC-8GD,high
GPU,ASRock Steel Legend OC,RX9060XT-SL-16GO,high
GPU,MSI VENTUS 3X OC,RTX-5060-TI-8G-VENTUS-3X-OC,high
GPU,Asus ROG STRIX OC,ROG-STRIX-RTX5070-O12G-GAMING,high
GPU,MSI GAMING OC,RTX-5060-8G-GAMING-OC,high
GPU,Asus ROG Astral BTF OC,ROG-ASTRAL-RTX5090-O32G-BTF-GAMING,high
GPU,PNY VCG508016TFXPB1,VCG508016TFXPB1,low
GPU,Palit GamingPro-S,NE7507T019T2-GB2031U,high
GPU,XFX Speedster SWFT 210,RX-66XL8LFDQ,high
GPU,MSI GeForce GTX 1060 6GT OCV1,GEFORCE-GTX-1060-6GT-OCV1,low
GPU,Sapphire PULSE,11324-01-20G,high
GPU,Gigabyte EAGLE OC,GV-N407TSEAGLE-OC-16GD,high
GPU,Zotac GAMING Twin Edge OC,ZT-A30600H-10M,high
GPU,Gigabyte AERO OC,GV-N5060AERO-OC-8GD,high
GPU,Sapphire NITRO+,11350-01-20G,high
GPU,Asus PRIME OC,PRIME-RTX5060-O8G,high
GPU,Gigabyte GAMING OC,GV-R77XTGAMING-OC-12GD,high
GPU,EVGA FTW3 ULTRA GAMING,08G-P5-3797-KL,high
GPU,MSI GAMING TRIO OC WHITE,GEFORCE-RTX-5070-12G-GAMING-TRIO-OC-WHITE,high
GPU,AMD 100-300000120,100-300000120,low
GPU,Zotac GAMING Twin Edge OC,ZT-B50600H-10M,high
GPU,ASRock Steel Legend OC,RX7600-SL-8GO,high
GPU,MSI GT 710 2GD3 LP,GT7102GD3LP,high
GPU,Asus DUAL OC,DUAL-RTX5050-O8G,high
GPU,XFX Speedster QICK 319 Core,RX-78TQICKF9,high
GPU,XFX Swift,RX-97GRE29B7,high
GPU,Gigabyte WINDFORCE V2,GV-N408SWF3V2-16GD,high
GPU,Zotac Twin Edge OC,ZT-B50610H-10M,high
GPU,NVIDIA Founders Edition,900-1G160-2565-000,high
GPU,MSI VENTUS XS OC,GTX-1660-TI-VENTUS-XS-6G-OC,high
GPU,Zotac GAMING SOLO,ZT-B50600G-10L,high
GPU,XFX Speedster QICK 319 Core,RX-675XYJFDP,high
GPU,PowerColor Hellhound Spectral,RX9070XT-16G-LOCWHITE,high
GPU,MSI GeForce RTX 2070 SUPER VENTUS GP OC,RTX-2070-SUPER-VENTUS-GP-OC,low
GPU,XFX Speedster SWFT 319,RX-68XLAQFD9,high
GPU,NVIDIA Founders Edition,9001G4132500001,high
GPU,MSI FRIEREN EDITION OC,G507T-16FEC,high
GPU,NVIDIA Founders Edition,900-1G136-2555-000,high
GPU,EVGA XC GAMING,12G-P5-3657-KR,high
GPU,XFX Speedster MERC 319 Black,RX-78TMERCB9,high
GPU,MSI VENTUS 3X E OC,RTX-4070-TI-VENTUS-3X-E-12G-OC,high
GPU,Zotac GAMING Twin Edge,ZT-B50700E-10P,high
GPU,Gigabyte AORUS XTREME WATERFORCE,GV-N5090AORUSX-W-32GD,high
GPU,ASRock Challenger D,A750-CLD-8GO,high
GPU,EVGA SC GAMING ACX 3.0,08G-P4-6173-KR,high
GPU,XFX Swift OC,RX-96TSW8GBQ,high
GPU,XFX Speedster MERC 319 CORE,RX-68XTALFD9,high
GPU,Asus DUAL EVO OC,DUAL-RTX4060TI-O16G-EVO,high
GPU,MSI GT 710 1GD3H LP,GT7101GD3HLP,high
GPU,Sparkle ECO,SA310C-4G,high
GPU,NVIDIA Founders Edition,900-1G150-2530-000,high
GPU,Gigabyte GAMING OC,GVN3080GAMINGOC10GD,high
GPU,Acer Nitro OC,DPZ4BWWP01,high
GPU,Sapphire PULSE,11330-02-20G,high
GPU,Palit Dual,NE7506T019P1-GB2062D,high
GPU,XFX Speedster QICK 319 BLACK,RX-77TQICKB9,high
GPU,Gigabyte GV-R9070XTGAMING-16GD,GV-R9070XTGAMING-16GD,low
GPU,MSI VENTUS 2X,RTX-5060-8G-VENTUS-2X-WHITE,high
GPU,PowerColor Reaper A,RX9070GRE-12G-A,high
GPU,EVGA FTW3 ULTRA GAMING,08G-P5-3767-KR,high
GPU,AMD RADEON PRO WX 5100,RADEON-PRO-WX-5100,low
GPU,Gigabyte OC,GV-N1660OC-6GD,high
GPU,Acer Nitro OC,DPZ4CWWP01,high
GPU,Gigabyte AERO OC,GV-N506TAERO-OC-16GD,high
GPU,Asus DUAL EVO OC,DUAL-RTX4070S-O12G-EVO,high
GPU,MSI VENTUS 2X OC,RTX-5050-8G-VENTUS-2X-OC,high
GPU,PowerColor Reaper,RX9060XT-8G-A,high
GPU,AMD 100-438385,100-438385,low
GPU,MSI Radeon RX 6600 MECH 2X 8G,RX-6600-MECH-2X-8G,low
GPU,PNY VCG507012TFXPB1,VCG507012TFXPB1,low
GPU,Zotac GAMING Twin Edge OC,ZT-A30610H-10MLHR,high
GPU,Gigabyte EAGLE,GV-R65XTEAGLE-4GD,high
GPU,AMD 100-300000082,100-300000082,low
GPU,MSI VENTUS 3X OC,RTX-5070-12G-VENTUS-3X-OC,high
GPU,ASRock B60 CT 24G,B60-CT-24G,low
GPU,Zotac GAMING SOLID OC,ZT-B50900J-10P,high
GPU,PowerColor Fighter,AXRX-6600-8GBD6-3DH,high
GPU,XFX Swift,RX-97GRE29W7,high
GPU,EVGA BLACK GAMING,08G-P4-3081-KR,high
GPU,Asus DUAL OC,DUAL-RTX4060-O8G,high
GPU,MSI GAMING X,GTX-1660-SUPER-GAMING-X,high
GPU,Zotac Solid Core OC,ZT-B50710Q2-10P,high
GPU,Sapphire PULSE,11323-02-20G,high
GPU,ASRock RX6500XT CLI 4G:,RX6500XT-CLI-4G,low
GPU,MSI VENTUS 2X OC,RTX-4070-VENTUS-2X-12G-OC,high
GPU,Gigabyte GAMING OC,GV-N207SGAMING-OC-8GC,high
GPU,ASRock Steel Legend OC,RX9070-SL-16GO,high
GPU,MSI RTX 3060 Ventus 3X 12G OC,RTX3060VENTUS3X12GOC,high
GPU,EVGA XC3 ULTRA GAMING,10G-P5-3885-KR,high
GPU,Asus TUF GAMING OC V2,TUF-RTX3060TI-O8G-V2-GAMING,high
GPU,MSI VENTUS 2X OC,RTX-3060-VENTUS-2X-8G-OC,high
GPU,Sparkle TITAN OC,SB580T-12GOC,high
GPU,Asus DUAL OC,DUAL-RTX5060-O8G-WHITE,high
GPU,MSI D4 LP OC,GT-1030-4GD4-LP-OC,high
GPU,ASRock Radeon RX 7900 XTX 24GB,RADEON-RX-7900-XTX-24GB,low
GPU,Asus DUAL OC,DUAL-RTX4070-O12G,high
