category,brand,product_name,mpn,confidence
gpu,PNY,"PNY XLR8 Gaming VERTO EPIC-X RGB",VCG4070T12TFXXPB1,high
gpu,PNY,"PNY VCGGTX580XPB",VCGGTX580XPB,low
gpu,PNY,"PNY VCG16606SSFPPB",VCG16606SSFPPB,low
gpu,PNY,"PNY XLR8 Gaming VERTO EPIC-X RGB",VCG408016TFXXPB1,high
gpu,Zotac,"Zotac MINI",ZT-P10700G-10M,high
gpu,EVGA,"EVGA SSC GAMING ACX 3.0",04G-P4-6255-KR,high
gpu,Zotac,"Zotac MINI",ZT-T20610E-10M,high
gpu,Xfx,"XFX Swift OC",RX-96TSW8GBA,high
gpu,Nvidia,"NVIDIA 9001G4012500000",9001G4012500000,low
gpu,AMD,"AMD 100-438378",100-438378,low
gpu,PNY,"PNY VCG5070T16TFXPB1",VCG5070T16TFXPB1,low
gpu,Zotac,"Zotac GAMING Trinity",ZT-A30710D-10P,high
gpu,EVGA,"EVGA 03G-P4-6160-KR",03G-P4-6160,low
gpu,Zotac,"Zotac GAMING APOCALYPSE OC",ZT-B50710C-10P,high
gpu,EVGA,"EVGA XC ULTRA GAMING",11G-P4-2383-KR,high
gpu,Sapphire,"Sapphire NITRO+",100411NT4G-2L,high
gpu,Zotac,"Zotac GAMING OC",ZT-T16520F-10L,high
gpu,Sapphire,"Sapphire 21323-01-20G",21323-01-20G,low
gpu,Zotac,"Zotac MINI",ZT-P10600A-10L,high
gpu,Zotac,"Zotac GAMING AMP",ZT-T20600D-10M,high
gpu,Sapphire,"Sapphire NITRO+",11323-01-20G,high
gpu,PNY,"PNY VCQRTX6000-PB",VCQRTX6000-PB,low
gpu,Nvidia,"NVIDIA 900-5G153-2250-000",900-5G153-2250-000,low
gpu,PNY,"PNY VCQP1000-PB",VCQP1000-PB,low
gpu,PNY,"PNY VCNRTXPRO4500B-PB",VCNRTXPRO4500B-PB,low
gpu,PNY,"PNY VERTO",VCG4060T8DFXPB1,high
gpu,Xfx,"XFX Quicksilver Magnetic Air",RX-97TMAQKB9,high
gpu,PNY,"PNY VCGGTX1070T8PB-CG",VCGGTX1070T8PB-CG,low
gpu,EVGA,"EVGA SC GAMING",06G-P4-2062-KR,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-D40600Q-10M,high
gpu,EVGA,"EVGA XC3 ULTRA GAMING",24G-P5-3975-KR,high
gpu,PNY,"PNY Blower",VCG2080T11BLMPB,high
gpu,Sapphire,"Sapphire PULSE",11325-04-20G,high
gpu,EVGA,"EVGA XC GAMING",08G-P5-3553-KR,high
gpu,PNY,"PNY VCQRTX5000-PB",VCQRTX5000-PB,low
gpu,AMD,"AMD 100-300000077",100-300000077,low
gpu,Zotac,"Zotac GAMING AMP",ZT-B50620F-10M,high
gpu,Xfx,"XFX Speedster SWFT 319",RX-68XTAQFD9,high
gpu,Zotac,"Zotac GAMING",ZT-T20600H-10M,high
gpu,Xfx,"XFX Speedster MERC 319 Black",RX-67XTYTBDP,high
gpu,Sapphire,"Sapphire PULSE Low Profile",11315-01-20G,high
gpu,Zotac,"Zotac Twin Edge",ZT-B50610E-10M,high
gpu,Nvidia,"NVIDIA 900-5G153-2570-000",900-5G153-2570-000,low
gpu,Zotac,"Zotac GAMING ARCTICSTORM AIO",ZT-B50900K-30P,high
gpu,EVGA,"EVGA XC3 BLACK GAMING",08G-P5-3751-KR,high
gpu,EVGA,"EVGA SC GAMING ACX 2.0",04G-P4-6253-KR,high
gpu,EVGA,"EVGA Black",08G-P4-1071-KR,high
gpu,Zotac,"Zotac GAMING Twin Edge OC White Edition",ZT-A30700J-10PLHR,high
gpu,EVGA,"EVGA XC GAMING",08G-P5-3663-KL,high
gpu,PNY,"PNY VERTO OC",VCG4070TS16TFXPB1-O,high
gpu,Zotac,"Zotac MINI",ZT-P10510A-10L,high
gpu,Zotac,"Zotac GAMING Twin Edge",ZT-A30500E-10M,high
gpu,PNY,"PNY VCNRTX5000ADA-PB",VCNRTX5000ADA-PB,low
gpu,Xfx,"XFX Triple Dissipation",RX-57XT83LD8,high
gpu,Zotac,"Zotac GAMING AMP",ZT-A30610F-10PLHR,high
gpu,Sapphire,"Sapphire 21322-01-20G",21322-01-20G,low
gpu,Xfx,"XFX Speedster QICK 210",RX-65XT4DBDQ,high
gpu,Xfx,"XFX Speedster SWFT 210 Core",RX-665X8DFDR,high
gpu,Zotac,"Zotac SOLID SFF",ZT-B50710D3-10P,high
gpu,PNY,"PNY VCQP2000-PB",VCQP2000-PB,low
gpu,Zotac,"Zotac ZT-P10300A-10L",ZT-P10300A-10L,low
gpu,Sapphire,"Sapphire NITRO+",11335-02-20G,high
gpu,EVGA,"EVGA iCX GAMING",11G-P4-6591-KR,high
gpu,Sapphire,"Sapphire NITRO+ SE",11308-03-20G,high
gpu,AMD,"AMD FirePro W9100",100505725,high
gpu,AMD,"AMD 100-300000078",100-300000078,low
gpu,EVGA,"EVGA SC ULTRA GAMING",06G-P4-1067-KR,high
gpu,Xfx,"XFX RAW II",RX-57XT8OFF6,high
gpu,Nvidia,"NVIDIA Star Wars Jedi Order",900-1G611-2531-000,high
gpu,EVGA,"EVGA 01G-P3-2711-KR",01GP32711KR,high
gpu,AMD,"AMD 100-505724",100505724,high
gpu,Xfx,"XFX Speedster SWFT 210 Core 2",RX-78TSWFTFA,high
gpu,EVGA,"EVGA XC GAMING",08G-P4-3172-KR,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING iCX3",08G-P5-3667-KR,high
gpu,Sapphire,"Sapphire PULSE",11276-02-40G,high
gpu,EVGA,"EVGA XC GAMING",08G-P4-2172-KR,high
gpu,EVGA,"EVGA SSC ACX 2.0+",04GP43966KR,high
gpu,EVGA,"EVGA FTW3 ELITE GAMING",11G-P4-6796-K1,high
gpu,Sapphire,"Sapphire NITRO+ SE",11289-01-20G,high
gpu,Zotac,"Zotac GAMING Twin Fan",ZT-T20710F-10P,high
gpu,PNY,"PNY RTX A-Series",VCNRTXA4500-PB,high
gpu,Xfx,"XFX Speedster MERC 310",RX-79TMERCW9,high
gpu,EVGA,"EVGA Superclocked ACX 2.0",04GP42983KR,high
gpu,Sapphire,"Sapphire PURE",11325-03-20G,high
gpu,Nvidia,"NVIDIA 900-5G147-2570-000",900-5G147-2570-000,low
gpu,Nvidia,"NVIDIA 900-1G611-2500-000",900-1G611-2500-000,low
gpu,EVGA,"EVGA SC Black Edition",11G-P4-6393-KR,high
gpu,Sapphire,"Sapphire 21330-01-20G",21330-01-20G,low
gpu,PNY,"PNY VERTO",VCG30608DFBPB1,high
gpu,Sapphire,"Sapphire PULSE",11289-06-20G,high
gpu,PNY,"PNY VCQM4000-PB",VCQM4000PB,high
gpu,Xfx,"XFX GTS",RX-580P828D6,high
gpu,Zotac,"Zotac MINI",ZT-P10710G-10P,high
gpu,Zotac,"Zotac GAMING Twin Edge",ZT-D40620E-10M,high
gpu,PNY,"PNY VCQK4200-PB",VCQK4200PB,high
gpu,EVGA,"EVGA SSC GAMING",06G-P4-6264-KR,high
gpu,EVGA,"EVGA SSC ACX 2.0+",04GP43975KR,high
gpu,AMD,"AMD 100-506208",100-506208,low
gpu,Sapphire,"Sapphire NITRO+",11266-09-20G,high
gpu,EVGA,"EVGA FTW3 GAMING",08G-P5-3765-KR,high
gpu,PNY,"PNY VCQP5000-PB",VCQP5000-PB,low
gpu,PNY,"PNY RTX A-Series",VCNRTXA2000-PB,high
gpu,PNY,"PNY VCQ420NVS-X1-DVI-PB",VCQ420NVSX1DVIPB,high
gpu,Xfx,"XFX Mercury OC RGB V2",RX-97TRGBBBA,high
gpu,EVGA,"EVGA 02G-P4-2963-KR",02GP42963KR,high
gpu,EVGA,"EVGA Black",11G-P4-2281-KR,high
gpu,Zotac,"Zotac AMP",ZT-P10600B-10M,high
gpu,Zotac,"Zotac AMP Extreme",ZT-P10810C-10P,high
gpu,Sapphire,"Sapphire PULSE",11266-04-20G,high
gpu,AMD,"AMD 100-438370",100-438370,low
gpu,EVGA,"EVGA SC ULTRA GAMING",04G-P4-1357-KR,high
gpu,EVGA,"EVGA Superclocked",02GP42951KR,high
gpu,PNY,"PNY RTX A-Series",VCNRTXA5000-PB,high
gpu,Xfx,"XFX Swift OC",RX-96TS38GB7,high
gpu,Nvidia,"NVIDIA 900-1G500-2500-000",900-1G500-2500-000,low
